id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401547053,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6042.0,Alumni Stadium (KY),2310,Kentucky State,SIAC,ii,34.0,"[7, 14, 0, 13]",,,,2805,Clark Atlanta,SIAC,ii,20.0,"[0, 7, 7, 6]",,,,,,
401545810,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,5874.0,Chet Anderson Stadium,132,Bemidji State,Northern Sun,ii,49.0,"[21, 15, 7, 6]",,,,425,Northern State,Northern Sun,ii,13.0,"[6, 0, 7, 0]",,,,,,
401545791,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,4431.0,Chryst Field at Biemesderfer Stadium,210,Millersville,Pennsylvania State Athletic,ii,33.0,"[0, 12, 8, 13]",,,,2830,St. Anselm,Northeast 10,ii,7.0,"[0, 7, 0, 0]",,,,,,
401545835,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6035.0,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),Northern Sun,ii,31.0,"[7, 10, 7, 7]",,,,2817,Minnesota State Moorhead,Northern Sun,ii,23.0,"[7, 3, 7, 6]",,,,,,
401547175,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,True,False,,3983.0,War Memorial Stadium (AR),241,McMurry,American Southwest,iii,19.0,"[0, 0, 0, 19]",,,,3,Birmingham-Southern,Southern Athletic,iii,20.0,"[6, 7, 0, 7]",,,,,,
401545779,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,6212.0,Bishop Schmitt Field,112335,Wheeling,Mountain East,ii,35.0,"[7, 0, 14, 14]",,,,611,Seton Hill,Pennsylvania State Athletic,ii,24.0,"[10, 0, 0, 14]",,,,,,
401545751,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3723.0,QU Stadium,2825,Quincy,Great Lakes,ii,34.0,"[0, 15, 6, 13]",,,,2123,Chadron St,Rocky Mountain,ii,35.0,"[22, 7, 0, 6]",,,,,,
401541949,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6062.0,Gable Field at Doc Wadley Stadium,196,Northeastern State,Mid America,ii,0.0,"[0, 0, 0, 0]",,,,2231,Fort Hays State,Mid America,ii,56.0,"[7, 28, 7, 14]",,,,,,
401541881,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5888.0,University Stadium (GA),2698,West Georgia,Gulf South,ii,21.0,"[7, 0, 0, 14]",,,,2336,Limestone,South Atlantic,ii,19.0,"[0, 6, 0, 13]",,,,,,
401545842,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6070.0,Bob Young Field,2894,Sioux Falls,Northern Sun,ii,26.0,"[0, 13, 13, 0]",,,,2364,Minnesota State Mankato,Northern Sun,ii,54.0,"[7, 13, 27, 7]",,,,,,
